Country,Code,Continent region,Year,Diet low in whole grains,Diet low in fruits,Diet low in nuts and seeds,Diet low in vegetables,Population,Total Death Rate,Average death rate
Chile,CHL,South America,2019,3143,1389,984,639,19039485,98543,32.3276
China,CHN,Asia,2019,383478,231120,86309,15706,1407745000,13409833,50.905
Colombia,COL,South America,2019,7112,2202,2834,3435,50187406,191401,31.0496
Comoros,COM,Africa,2019,90,52,16,81,790986,3767,30.2155
Costa Rica,CRI,North America,2019,796,161,222,346,5084532,19431,29.9929
Cote d'Ivoire,CIV,Africa,2019,2084,1317,43,1383,26147551,111121,18.4606
Croatia,HRV,Europe,2019,2642,795,822,675,4065253,63838,121.3701
Cuba,CUB,North America,2019,4112,1113,324,1011,11316697,100247,57.9674
Cyprus,CYP,Asia,2019,393,102,28,96,1228836,8293,50.3729
Czechia,CZE,Europe,2019,5058,2469,1929,1823,10671870,133620,105.6891
Denmark,DNK,Europe,2019,1774,504,369,366,5814422,43825,51.8194
Djibouti,DJI,Africa,2019,127,139,55,72,1073994,4551,36.5924
Dominica,DMA,North America,2019,29,1,1,6,71428,635,51.8004
Dominican Republic,DOM,North America,2019,2789,269,116,1324,10881882,65898,41.3348
Ecuador,ECU,South America,2019,2295,331,1111,1220,17343740,68009,28.5809
El Salvador,SLV,North America,2019,1082,553,58,516,6280217,33639,35.1739
Equatorial Guinea,GNQ,Africa,2019,69,34,1,56,1553031,3674,10.3024
Eritrea,ERI,Africa,2019,485,555,152,494,3498818,28504,48.1877
Estonia,EST,Europe,2019,789,302,364,188,1326898,16275,123.8226
Eswatini,SWZ,Africa,2019,107,150,17,104,1169613,7449,32.3184
Ethiopia,ETH,Africa,2019,6495,7703,3192,4871,114120594,347063,19.5066
Fiji,FJI,Oceania,2019,416,353,14,166,918465,11174,103.3246
Finland,FIN,Europe,2019,2617,1046,1038,861,5521606,48634,100.7316
France,FRA,Europe,2019,18559,7900,3557,4676,67388001,402771,51.481
Gabon,GAB,Africa,2019,182,51,5,148,2242785,8831,17.2107
Georgia,GEO,Asia,2019,3770,1462,1039,759,3720161,69032,188.9703
Germany,DEU,Europe,2019,33593,12908,4569,9889,83092962,879851,73.3624
Ghana,GHA,Africa,2019,3438,915,54,2126,31522290,145698,20.725
Greece,GRC,Europe,2019,7431,678,567,279,10721582,118223,83.5231
Greenland,GRL,North America,2019,13,6,1,2,56225,391,39.1285
Grenada,GRD,North America,2019,33,8,4,14,122724,787,48.0754
Guam,GUM,Oceania,2019,63,16,1,26,168624,1226,62.8618
Guatemala,GTM,North America,2019,1826,1145,371,862,16604026,72155,25.3192
Guinea,GIN,Africa,2019,989,653,39,833,12877539,68799,19.5224
Guinea-Bissau,GNB,Africa,2019,158,172,5,176,1970457,10013,25.9331
Guyana,GUY,South America,2019,216,164,10,112,798753,6902,62.848
Haiti,HTI,North America,2019,2417,1510,305,1874,11160438,85291,54.7111
Honduras,HND,North America,2019,1224,747,699,793,9958829,48852,34.7732
Hungary,HUN,Europe,2019,7228,2780,3327,1057,9771141,162490,147.2909
Iceland,ISL,Europe,2019,88,33,23,29,360563,1598,47.9805
India,IND,Asia,2019,258257,256232,164172,134007,1383112050,9986827,58.7565
Indonesia,IDN,Asia,2019,38678,46157,1810,35542,269582878,1914553,45.3245
Iraq,IRQ,Asia,2019,11803,4485,6172,1040,41563520,250157,56.54
Ireland,IRL,Europe,2019,954,448,273,271,4934340,25504,39.4379
Israel,ISR,Asia,2019,1869,184,37,40,9054000,37688,23.5255
Italy,ITA,Europe,2019,32194,4228,5401,3935,59729081,558249,76.6092
Jamaica,JAM,North America,2019,645,288,32,221,2813773,19347,42.1498
Japan,JPN,Asia,2019,30877,19206,12031,3448,126633000,842925,51.7732
Jordan,JOR,Asia,2019,2044,564,173,297,10698683,38837,28.7699
Kazakhstan,KAZ,Asia,2019,9455,3450,2949,374,18513673,173146,87.6541
Kenya,KEN,Africa,2019,2724,3079,1120,2155,50951450,175566,17.817
Kiribati,KIR,Oceania,2019,44,32,3,28,124241,1521,86.1229
Kuwait,KWT,Asia,2019,619,173,127,25,4441100,13402,21.256
Latvia,LVA,Europe,2019,1847,817,650,381,1913822,30631,193.0692
Lebanon,LBN,Asia,2019,3146,160,76,46,5781907,45273,59.2884
Lesotho,LSO,Africa,2019,203,488,98,265,2225702,20029,47.3558
Liberia,LBR,Africa,2019,356,334,96,306,4985289,19372,21.9044
Libya,LBY,Africa,2019,2126,428,446,347,6569088,38115,50.9508
Lithuania,LTU,Europe,2019,2665,983,1020,562,2794137,40225,187.1777
Luxembourg,LUX,Europe,2019,126,51,60,33,620001,3398,43.5483
Madagascar,MDG,Africa,2019,1772,2695,1086,2573,27533134,127057,29.5135
Malawi,MWI,Africa,2019,836,1192,73,1146,18867337,72259,17.2096
Malaysia,MYS,Asia,2019,6540,2790,83,3124,32804020,168244,38.2179
Maldives,MDV,Asia,2019,65,32,14,22,504508,1377,26.3623
Mali,MLI,Africa,2019,1437,1416,251,1187,20567424,102732,20.8631
Malta,MLT,Europe,2019,242,57,27,20,504062,3614,68.6423
Marshall Islands,MHL,Oceania,2019,20,14,2,13,44728,493,109.5511
Mauritania,MRT,Africa,2019,423,391,243,262,4383849,15573,30.0877
Mauritius,MUS,Africa,2019,414,372,49,130,1265985,13563,76.2252
Mexico,MEX,North America,2019,15806,6737,6842,7605,125085311,691863,29.5718
Moldova,MDA,Europe,2019,2642,1152,1479,779,2664224,49878,227.1581
Monaco,MCO,Europe,2019,18,2,0,1,37034,385,56.7046
Mongolia,MNG,Asia,2019,1301,1184,692,687,3232430,30623,119.5386
Montenegro,MNE,Europe,2019,319,66,102,13,622028,10287,80.3822
Morocco,MAR,Africa,2019,19647,1786,5133,1907,36304408,303235,78.4285
Mozambique,MOZ,Africa,2019,2092,2985,303,2133,30285595,131532,24.8072
Myanmar,MMR,Asia,2019,7526,12265,134,5895,53040212,488029,48.68
Namibia,NAM,Africa,2019,282,319,170,199,2446644,13500,39.6461
Nauru,NRU,Oceania,2019,3,2,0,2,12132,78,57.6986
Nepal,NPL,Asia,2019,3640,3102,2606,2429,28832496,205541,40.8463
Netherlands,NLD,Europe,2019,4443,1722,578,1328,17344874,114041,46.5325
New Zealand,NZL,Oceania,2019,1306,406,145,341,4979200,24383,44.1436
Nicaragua,NIC,North America,2019,814,709,280,578,6663924,30201,35.7297
Niger,NER,Africa,2019,1341,1571,23,763,23443393,118426,15.7742
Nigeria,NGA,Africa,2019,13981,9743,313,6637,203304492,912981,15.0877
North Macedonia,MKD,Europe,2019,1401,398,142,51,2076694,37970,95.9217
Northern Mariana Islands,MNP,Oceania,2019,15,6,0,8,49858,413,58.1652
Norway,NOR,Europe,2019,1555,400,357,442,5347896,26992,51.4969
Oman,OMN,Asia,2019,713,78,336,127,4602768,14256,27.2445
Pakistan,PAK,Asia,2019,54778,29182,17707,24682,223293280,1375527,56.5843
Palau,PLW,Oceania,2019,10,5,0,5,17916,237,111.6321
Panama,PAN,North America,2019,416,282,106,281,4232532,15185,25.6348
Papua New Guinea,PNG,Oceania,2019,1875,1361,372,1013,9542486,66942,48.4255
Paraguay,PRY,South America,2019,937,352,145,535,6530026,32784,30.153
Peru,PER,South America,2019,2988,1430,1196,1485,32824861,95593,21.6269
Philippines,PHL,Asia,2019,15316,9379,1837,10317,110380804,661704,33.3835
Poland,POL,Europe,2019,20129,8726,9126,1825,37965475,460603,104.8479
Portugal,PRT,Europe,2019,3580,1148,782,387,10286263,85563,57.3289
Puerto Rico,PRI,North America,2019,1170,321,42,494,3193694,28480,63.4688
Qatar,QAT,Asia,2019,222,14,28,3,2807235,4788,9.5111
Romania,ROU,Europe,2019,12934,5119,6337,338,19371648,324945,127.6505
Rwanda,RWA,Africa,2019,865,28,232,745,12835028,51184,14.5695
Samoa,WSM,Oceania,2019,70,39,1,43,211905,1861,72.2022
San Marino,SMR,Europe,2019,10,3,1,2,34178,215,46.8137
Sao Tome and Principe,STP,Africa,2019,28,7,1,18,214599,883,25.1632
Saudi Arabia,SAU,Asia,2019,7131,2314,2546,1823,35827362,154143,38.5571
Senegal,SEN,Africa,2019,1366,1435,54,851,16000781,67119,23.1614
Serbia,SRB,Europe,2019,6362,1458,1786,1425,6945235,168706,158.8283
Seychelles,SYC,Africa,2019,20,11,3,13,97625,740,48.1434
Sierra Leone,SLE,Africa,2019,678,715,15,558,8046828,41403,24.432
Singapore,SGP,Asia,2019,674,180,188,113,5703569,16423,20.2505
Slovenia,SVN,Europe,2019,624,174,151,176,2088385,18849,53.8694
Solomon Islands,SLB,Oceania,2019,284,209,62,232,674993,8419,116.5938
Somalia,SOM,Africa,2019,1497,1933,115,1496,15981300,109541,31.5431
South Africa,ZAF,Africa,2019,5243,8375,3773,3900,58087055,346018,36.6536
South Sudan,SSD,Africa,2019,494,391,50,448,10447666,39825,13.2374
Spain,ESP,Europe,2019,12753,2332,1756,2142,47134837,319980,40.2738
Sri Lanka,LKA,Asia,2019,4224,3857,121,2353,21803000,147936,48.4108
Sudan,SDN,Africa,2019,11581,3394,4042,3107,43232093,220694,51.1749
Suriname,SUR,South America,2019,126,74,6,75,600301,4240,46.8099
Sweden,SWE,Europe,2019,4105,1225,702,1155,10278887,73216,69.92
Switzerland,CHE,Europe,2019,2680,795,313,715,8575280,53783,52.5114
Tajikistan,TJK,Asia,2019,3512,1568,1605,230,9337003,58568,74.0602
Tanzania,TZA,Africa,2019,2933,2949,77,3144,59872579,243035,15.204
Thailand,THA,Asia,2019,8064,4329,146,6467,71307763,430315,26.6535
Togo,TGO,Africa,2019,699,896,19,630,8243094,37193,27.2228
Tonga,TON,Oceania,2019,24,16,2,13,104951,735,52.4054
Trinidad and Tobago,TTO,North America,2019,586,323,19,220,1519955,14279,75.5286
Tunisia,TUN,Africa,2019,5281,795,428,339,12049314,85516,56.7916
Turkmenistan,TKM,Asia,2019,3032,748,1695,58,6158420,46117,89.8445
Tuvalu,TUV,Oceania,2019,5,4,0,3,10956,124,109.529
Uganda,UGA,Africa,2019,1877,523,68,1970,42949080,136163,10.3332
Ukraine,UKR,Europe,2019,66765,25488,29883,5983,44386203,856572,288.646
United Arab Emirates,ARE,Asia,2019,1470,323,26,293,9211657,34788,22.9275
United Kingdom,GBR,Europe,2019,20849,10067,11140,5936,66836327,481831,71.8053
United States,USA,North America,2019,102247,40172,11029,27977,328329953,2549358,55.2569
Uruguay,URY,South America,2019,1183,396,401,407,3428409,25129,69.6241
Uzbekistan,UZB,Asia,2019,20155,5139,9943,228,33580350,290223,105.6124
Vanuatu,VUT,Oceania,2019,103,53,9,66,304404,2975,75.886
Vietnam,VNM,Asia,2019,11915,15136,769,6123,95776716,706638,35.4397
Zambia,ZMB,Africa,2019,873,2056,71,1201,18380477,72280,22.8558
Zimbabwe,ZWE,Africa,2019,1475,1960,256,1382,15354608,81732,33.0389
